x,y,z,yaw,name,d,distance
-19.044134,53.198421,0.4756042,1.9639363,vibration-32,1.54241322963725,422.856769746542
-19.051722,53.199444,0.4751141,1.9625237,leakage-16,0.00765664894062814,422.864426395482
-19.24847,54.588551,0.4686684,2.9705555,via-119,1.40297114473285,424.267397540215
-20.821012,55.00045,0.4957865,2.7069426,thermal-39,1.6255919315637,425.892989471779
-21.018486,54.823586,0.4810746,-2.2156203,thermal-40,0.265097821892222,426.158087293671
-21.550602,54.580532,0.3447129,1.5650541,leakage-17,0.584998020827424,426.743085314499
-21.499352,54.385124,0.3424906,1.83483,vibration-33,0.202016952169862,426.945102266668
-22.46455,54.669666,0.4990019,-3.0559316,via-120,1.00626603289985,427.951368299568
-23.20248,54.561829,0.4886234,-3.0524485,via-121,0.745767727559327,428.697136027128
-25.434465,54.625458,0.5641356,-3.0623798,via-122,2.23289177746392,430.930027804591
-25.875931,55.050587,0.4148865,-1.7140493,thermal-41,0.612884080228064,431.54291188482
-26.328659,54.969055,0.4223811,-2.3072376,leakage-18,0.460010987920938,432.002922872741
-27.575083,55.084435,0.4432806,-2.6118157,leakage-19,1.25175290380171,433.254675776542
-27.965071,55.029861,0.4579551,-2.2535415,asset-11,0.393787965306203,433.648463741848
-28.058128,55.263554,0.446149,-2.0360234,leakage-20,0.251539308057412,433.900003049906
-29.014275,53.969135,0.3992804,-1.5672144,via-123,1.6092661784708,435.509269228377
-28.794733,51.141758,0.4262067,0.6510858,thermal-42,2.83588776045403,438.345156988831
-28.767246,55.099976,0.4561602,0.0368204,leakage-21,3.95831343765157,442.303470426482
-26.486942,54.413555,0.4201461,1.5100766,leakage-22,2.381377778022,444.684848204504
-26.486942,54.413555,0.5461706,0.9302,via-124,0,444.684848204504
-25.587793,54.849037,0.5461706,-0.1408254,via-125,0.999056302980466,445.683904507485
